Datetime,Open,High,Low,Last,Volume,Dividends,Stock splits
6/6/2022 13:10,188.06,188.06,187.16,187.5499,274983,0,0
6/6/2022 13:15,187.52,187.64,187.1,187.3,246453,0,0
6/6/2022 13:20,187.3,187.7951,186.89,187.5,326466,0,0
6/6/2022 13:25,187.5003,187.99,187.4,187.89,219618,0,0
6/6/2022 13:30,187.8956,188.5,187.78,188.1,332363,0,0
6/6/2022 13:35,188.08,188.9399,187.96,188.78,325327,0,0
6/6/2022 13:40,188.7708,189.09,188.6201,189.0197,298171,0,0
6/6/2022 13:45,189.01,189.18,188.72,189.1291,269423,0,0
6/6/2022 13:50,189.1588,189.5,189.02,189.44,346024,0,0
6/6/2022 13:55,189.4476,190.05,189.4476,189.985,469466,0,0
6/6/2022 14:00,190,190.18,189.6551,189.8302,312025,0,0
6/6/2022 14:05,189.83,189.9511,189.31,189.63,330975,0,0
6/6/2022 14:10,189.6201,189.82,189.46,189.51,174564,0,0
6/6/2022 14:15,189.5112,189.57,189.16,189.375,236825,0,0
6/6/2022 14:20,189.395,189.395,188.28,188.565,285304,0,0
6/6/2022 14:25,188.56,188.72,187.69,188.0207,371370,0,0
6/6/2022 14:30,188,188.33,187.8401,188.125,239431,0,0
6/6/2022 14:35,188.12,188.29,187.2601,187.48,287962,0,0
6/6/2022 14:40,187.46,187.915,187.37,187.8199,312572,0,0
6/6/2022 14:45,187.7901,188.24,187.6782,187.75,294654,0,0
6/6/2022 14:50,187.74,187.86,186.87,187.75,352621,0,0
6/6/2022 14:55,187.7369,188.13,187.4801,187.6699,244050,0,0
6/6/2022 15:00,187.7,187.9531,187.23,187.67,254136,0,0
6/6/2022 15:05,187.66,187.88,187.12,187.38,246457,0,0
6/6/2022 15:10,187.395,187.72,187.1001,187.3399,270343,0,0
6/6/2022 15:15,187.3,187.67,186.85,186.86,275753,0,0
6/6/2022 15:20,186.87,187.15,186.46,186.96,357281,0,0
6/6/2022 15:25,186.945,187.26,186.93,187.1113,250268,0,0
6/6/2022 15:30,187.0801,187.67,186.9456,187.37,283901,0,0
6/6/2022 15:35,187.38,187.54,186.81,187.19,344080,0,0
6/6/2022 15:40,187.19,188.0999,187.0205,187.8587,414930,0,0
6/6/2022 15:45,187.88,188.085,187.24,187.51,350527,0,0
6/6/2022 15:50,187.51,188.24,187.51,188.095,505822,0,0
6/6/2022 15:55,188.06,188.12,187.42,187.86,1626492,0,0
6/7/2022 9:30,184.72,184.8499,181.88,183.39,1365606,0,0
6/7/2022 9:35,183.4314,185.42,183.28,184.68,898596,0,0
6/7/2022 9:40,184.68,186.19,184.4,185.89,720035,0,0
6/7/2022 9:45,185.82,186.17,185.14,186.11,606834,0,0
6/7/2022 9:50,186.11,187.44,185.86,185.8633,711931,0,0
6/7/2022 9:55,185.87,186.4899,185.2,185.75,532062,0,0
6/7/2022 10:00,185.6503,186.1164,185.07,185.71,473170,0,0
6/7/2022 10:05,185.6827,186.5,184.52,184.89,603076,0,0
6/7/2022 10:10,184.84,185.84,184.65,185.5663,413483,0,0
6/7/2022 10:15,185.605,186.5396,185.1,185.49,496209,0,0
6/7/2022 10:20,185.57,186.62,185.2482,186.02,443938,0,0
6/7/2022 10:25,186.055,187.14,185.59,186.77,562274,0,0
6/7/2022 10:30,186.78,186.8414,186.14,186.57,603293,0,0
6/7/2022 10:35,186.64,187.49,186.15,187.4116,657948,0,0
6/7/2022 10:40,187.37,187.85,187.1,187.58,490853,0,0
6/7/2022 10:45,187.5568,189.33,187.49,189,784854,0,0
6/7/2022 10:50,189.05,189.23,188.3468,188.4601,421193,0,0
6/7/2022 10:55,188.46,188.68,187.93,188.2313,358150,0,0
6/7/2022 11:00,188.28,188.61,187.86,187.9125,373332,0,0
6/7/2022 11:05,187.925,188.065,187.4,187.99,359282,0,0
6/7/2022 11:10,188,188.46,187.73,188.24,395912,0,0
6/7/2022 11:15,188.2313,188.38,187.53,187.65,268292,0,0
6/7/2022 11:20,187.645,187.86,187.05,187.2001,341752,0,0
6/7/2022 11:25,187.23,187.39,186.5216,186.79,322002,0,0
6/7/2022 11:30,186.7994,186.7994,186.13,186.55,469146,0,0
6/7/2022 11:35,186.555,186.73,186.02,186.7,343828,0,0
6/7/2022 11:40,186.67,186.72,186.1573,186.295,272629,0,0
6/7/2022 11:45,186.2833,186.627,185.5,185.59,411546,0,0
6/7/2022 11:50,185.57,186.4793,185.53,186.125,256619,0,0
6/7/2022 11:55,186.145,186.935,186.12,186.915,300899,0,0
6/7/2022 12:00,186.92,187.26,186.68,186.875,294926,0,0
6/7/2022 12:05,186.86,186.97,186.37,186.83,214859,0,0
6/7/2022 12:10,186.85,187.08,186.75,186.89,165161,0,0
6/7/2022 12:15,186.86,186.96,186.0401,186.465,229761,0,0
6/7/2022 12:20,186.465,186.5981,186.15,186.4575,175322,0,0
6/7/2022 12:25,186.46,186.78,186.337,186.52,246872,0,0
6/7/2022 12:30,186.5,187.1,185.96,186.99,272934,0,0
6/7/2022 12:35,186.99,187.1299,186.6874,186.915,203248,0,0
6/7/2022 12:40,186.96,187.535,186.93,187.23,339595,0,0
6/7/2022 12:45,187.2,187.435,187.18,187.3211,130030,0,0
6/7/2022 12:50,187.3301,187.49,186.97,187.45,191519,0,0
6/7/2022 12:55,187.475,187.6,187.25,187.54,172332,0,0
6/7/2022 13:00,187.5712,187.8784,187.18,187.7946,182242,0,0
6/7/2022 13:05,187.8085,188.1175,187.57,188.105,268998,0,0
6/7/2022 13:10,188.105,188.3522,187.95,188.3,311208,0,0
6/7/2022 13:15,188.34,188.44,188.18,188.4026,278631,0,0
6/7/2022 13:20,188.405,188.6299,188.05,188.11,270886,0,0
6/7/2022 13:25,188.14,188.45,188.03,188.33,174983,0,0
6/7/2022 13:30,188.3339,188.45,187.9479,188.2401,211237,0,0
6/7/2022 13:35,188.18,188.4,187.91,188.2,224697,0,0
6/7/2022 13:40,188.2,188.23,187.81,188.0099,225267,0,0
6/7/2022 13:45,188.039,188.236,187.7105,187.98,192151,0,0
6/7/2022 13:50,187.98,188.3,187.8804,187.94,205092,0,0
6/7/2022 13:55,187.93,187.98,187.63,187.8001,240778,0,0
6/7/2022 14:00,187.82,188,187.52,187.94,249468,0,0
6/7/2022 14:05,187.98,188.57,187.85,188.4307,267854,0,0
6/7/2022 14:10,188.434,188.7845,188.29,188.6694,304233,0,0
6/7/2022 14:15,188.6794,188.85,188.3,188.39,232972,0,0
6/7/2022 14:20,188.355,188.52,188.23,188.42,125877,0,0
6/7/2022 14:25,188.43,188.615,188.24,188.55,184525,0,0
